Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2018,"BOS",36,0.055555555,0.194444444,0.285714285,0.235294117,0.277777777,0.382352941,0.660130718,0.147058824,0.269230769,3.3704999998873637,-0.8378998919659697,0.28616919616858166,83.23211062417353
2018,"CHW",35,0.028571428,0.428571428,0.066666666,0.212121212,0.235294117,0.303030303,0.53832442,0.090909091,0.352941176,2.108650536281706,-1.9828493585757005,0.23522183649680195,58.8717072345936
2018,"CLE",40,0.1,0.175,0.571428571,0.176470588,0.3,0.382352941,0.682352941,0.205882353,0.16,4.315416488292009,-0.3605833915450268,0.30364980548620224,90.40348085037094
2018,"DET",32,0.03125,0.3125,0.1,0.206896551,0.25,0.379310344,0.629310344,0.172413793,0.263157894,2.4897943724377942,-1.2510055314318347,0.26677813939750195,72.28802250076134
2018,"MIN",34,0.029411764,0.205882352,0.142857142,0.181818181,0.205882352,0.242424242,0.448306594,0.060606061,0.23076923,0.7134209430734648,-3.261178954788016,0.1971235958968892,22.163187764246604
2018,"NYY",33,0.121212121,0.333333333,0.363636363,0.206896551,0.303030303,0.448275862,0.751306165,0.241379311,0.25,4.119193262009539,0.2614933611439841,0.32441340612642694,106.9726547139612
2018,"OAK",33,0,0.272727272,0,0.15625,0.181818181,0.40625,0.588068181,0.25,0.142857142,2.0391626946709036,-1.818537206194652,0.24714885877840448,62.390353164696634
2018,"SEA",33,0.06060606,0.272727272,0.222222222,0.206896551,0.272727272,0.206896551,0.479623823,0,0.285714285,1.4032635863382206,-2.4544363145273342,0.2235278324647383,45.139450535571044
2018,"TBR",34,0.088235294,0.44117647,0.2,0.193548387,0.264705882,0.322580645,0.587286527,0.129032258,0.333333333,2.4776471985618396,-1.4969526992996411,0.2607298545977649,67.33864318645954
2018,"ARI",35,0.114285714,0.228571428,0.5,0.275862068,0.4,0.689655172,1.089655172,0.413793104,0.235294117,8.027990880692006,3.936490985834598,0.4525687149592808,189.03110369414776
2018,"ATL",33,0.06060606,0.181818181,0.333333333,0.178571428,0.28125,0.357142857,0.638392857,0.178571429,0.19047619,2.249966953520402,-1.607732947345153,0.2714296483224438,61.219429101455546
2018,"COL",31,0.064516129,0.29032258,0.222222222,0.103448275,0.161290322,0.24137931,0.402669632,0.137931035,0.105263157,0.18209892541628686,-3.4418009814574164,0.1786030088701556,6.033863915088952
2018,"MIA",62,0.032258064,0.129032258,0.25,0.258620689,0.278688524,0.362068965,0.640757489,0.103448276,0.28,5.028796977217931,-2.219002836529474,0.26895034511884053,72.5610881326311
2018,"HOU",42,0.095238095,0.071428571,1.333333333,0.342105263,0.404761904,0.552631578,0.957393482,0.210526315,0.352941176,8.114088928899209,3.2042890550703205,0.40822052104132517,165.4853689378768
2018,"NYM",32,0.0625,0.28125,0.222222222,0.133333333,0.1875,0.433333333,0.620833333,0.3,0.055555555,2.33820110631591,-1.4025987975537184,0.26097110472619534,70.31111242042962
2018,"PHI",39,0.076923076,0.205128205,0.375,0.361111111,0.41025641,0.666666666,1.076923076,0.305555555,0.423076923,8.910274569365914,4.3511746865248035,0.45146230856577557,189.89254137450135
2018,"SDP",34,0,0.176470588,0,0.242424242,0.242424242,0.333333333,0.575757575,0.090909091,0.296296296,1.885928601683594,-2.088671296177887,0.246650856552702,53.46455479121534
2018,"SFG",63,0.111111111,0.222222222,0.5,0.23076923,0.327868852,0.384615384,0.712484236,0.153846154,0.27027027,6.549026307043182,-0.8156735037001497,0.30749675035476687,89.27085685459421
