Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2018,"LAA",35,0.028571428,0.228571428,0.125,0.181818181,0.228571428,0.181818181,0.410389609,0,0.24,0.5611010889208152,-3.530398805936592,0.1910539678164891,24.058539346015603
2018,"BAL",38,0.105263157,0.263157894,0.4,0.212121212,0.289473684,0.454545454,0.744019138,0.242424242,0.227272727,4.437563777894399,-0.004636107950785728,0.3145504546792884,102.65619849924728
2018,"BOS",44,0.068181818,0.272727272,0.25,0.341463414,0.386363636,0.634146341,1.020509977,0.292682927,0.423076923,9.297856057556075,4.154256189735337,0.43043510615825653,175.0019094220703
2018,"CHW",65,0.092307692,0.169230769,0.545454545,0.293103448,0.369230769,0.396551724,0.765782493,0.103448276,0.347826086,8.910611519449878,1.3121117147146943,0.3394446932352506,116.5125187085422
2018,"CLE",61,0.032786885,0.196721311,0.166666666,0.206896551,0.245901639,0.275862068,0.521763707,0.068965517,0.244444444,2.46984479622268,-4.661055020528801,0.2247185856103897,33.64406405106696
2018,"DET",36,0,0.194444444,0,0.361111111,0.361111111,0.75,1.111111111,0.388888889,0.36,8.650655901872325,4.442256010018991,0.4659605208370421,202.5310710901583
2018,"KCR",40,0.075,0.25,0.3,0.222222222,0.3,0.416666666,0.716666666,0.194444444,0.25,4.600416514063022,-0.0755833657740137,0.31238372921943663,98.8815960672139
2018,"MIN",61,0.032786885,0.245901639,0.133333333,0.220338983,0.245901639,0.288135593,0.534037232,0.06779661,0.279069767,2.839014035695456,-4.291885781056024,0.22737451593081157,39.00889155233424
2018,"OAK",68,0.176470588,0.19117647,0.923076923,0.296296296,0.411764705,0.481481481,0.893246186,0.185185185,0.341463414,11.800370835406333,3.851171039683372,0.384123807444292,148.28489375694812
2018,"SEA",32,0.0625,0.25,0.25,0.166666666,0.21875,0.166666666,0.385416666,0,0.227272727,0.23807576194467406,-3.502724141924955,0.1805222760885954,15.955686519482448
2018,"TBR",35,0,0.171428571,0,0.272727272,0.285714285,0.393939393,0.679653678,0.121212121,0.321428571,3.3511164455269613,-0.7403834493304449,0.2887693728719439,84.31629568708865
2018,"TEX",35,0.085714285,0.314285714,0.272727272,0.1875,0.257142857,0.3125,0.569642857,0.125,0.25,2.3275516745597873,-1.763948220297619,0.2404495723107282,56.52396885576527
2018,"TOR",48,0.145833333,0.1875,0.777777777,0.375,0.479166666,0.75,1.229166666,0.375,0.428571428,13.163592178921206,7.552392323116765,0.5075713892777761,230.19381294272443
2018,"ARI",42,0.071428571,0.238095238,0.3,0.256410256,0.309523809,0.461538461,0.77106227,0.205128205,0.344827586,5.306093622919001,0.3962937490901134,0.3190132975578308,106.87746976715906
2018,"ATL",36,0.055555555,0.277777777,0.2,0.333333333,0.388888888,0.515151515,0.904040403,0.181818182,0.428571428,6.678642605845043,2.470242713991712,0.38248965740203855,152.78587233144765
2018,"CIN",35,0.085714285,0.142857142,0.6,0.096774193,0.2,0.129032258,0.329032258,0.032258065,0.115384615,-0.5330782993064606,-4.624578194163868,0.1501638363389408,-7.234324940577114
2018,"COL",38,0.078947368,0.236842105,0.333333333,0.205882352,0.289473684,0.323529411,0.613003095,0.117647059,0.25,3.223352737028477,-1.218847148816707,0.2753821234954031,63.8460317897032
2018,"HOU",40,0.025,0.25,0.1,0.315789473,0.35,0.47368421,0.82368421,0.157894737,0.428571428,5.96700990028755,1.2910100204505144,0.3542634531855583,129.97793568630885
2018,"LAD",48,0.0625,0.229166666,0.272727272,0.409090909,0.44680851,0.59090909,1.0377176,0.181818181,0.53125,10.330154951127529,4.718955095323086,0.4444714974849782,181.3536975757844
2018,"MIL",35,0.142857142,0.228571428,0.625,0.275862068,0.382352941,0.379310344,0.761663285,0.103448276,0.35,4.587582214668673,0.49608231981126627,0.33168672612219147,111.05885610700224
2018,"WSN",32,0.03125,0.375,0.083333333,0.166666666,0.1875,0.433333333,0.620833333,0.266666667,0.176470588,2.123990114074541,-1.6168097897950875,0.2527653928846121,61.25426283161865
2018,"NYM",39,0.153846153,0.179487179,0.857142857,0.25,0.384615384,0.40625,0.790865384,0.15625,0.291666666,5.4652174609636655,0.9061175781225561,0.34449617799959686,122.2170352422656
2018,"PHI",35,0.114285714,0.285714285,0.4,0.193548387,0.285714285,0.225806451,0.511520736,0.032258064,0.285714285,1.9611164153797391,-2.130383479477668,0.2400870544569833,50.12725971404764
2018,"PIT",41,0.097560975,0.195121951,0.5,0.361111111,0.414634146,0.583333333,0.997967479,0.222222222,0.428571428,8.283916393523679,3.491016516690718,0.419074057078943,168.10314426476657
2018,"SDP",39,0.076923076,0.333333333,0.23076923,0.235294117,0.307692307,0.264705882,0.572398189,0.029411765,0.363636363,2.861821953360132,-1.6972779294809786,0.26135265827178955,68.0694880903633
2018,"SFG",43,0.116279069,0.302325581,0.384615384,0.243243243,0.348837209,0.432432432,0.781269641,0.189189189,0.318181818,6.023457148048266,0.9967572772234521,0.34311486260835516,120.15450019527347
