Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2018,"LAA",34,0.058823529,0.294117647,0.2,0.15625,0.205882352,0.25,0.455882352,0.09375,0.19047619,0.8976318993326649,-3.076967998528816,0.20376501714482026,30.53312299342562
2018,"BAL",33,0.03030303,0.333333333,0.09090909,0.25,0.272727272,0.375,0.647727272,0.125,0.35,2.9274746262316516,-0.9302252746339034,0.2801459792888526,80.02145075187114
2018,"BOS",42,0.095238095,0.119047619,0.8,0.368421052,0.428571428,0.842105263,1.270676691,0.473684211,0.344827586,11.811725792670035,6.901925918841148,0.516918899082556,233.08534095155144
2018,"CHW",42,0.071428571,0.333333333,0.214285714,0.324324324,0.404761904,0.459459459,0.864221363,0.135135135,0.5,7.109088817548983,2.1992889437200955,0.3788885460013435,142.939172699271
2018,"CLE",34,0.029411764,0.264705882,0.111111111,0.181818181,0.205882352,0.181818181,0.387700533,0,0.25,0.11342090417382272,-3.8611789936876586,0.1754915872040917,7.413408441021642
2018,"DET",45,0.155555555,0.133333333,1.166666666,0.315789473,0.422222222,0.447368421,0.869590643,0.131578948,0.375,7.737284023637681,2.4767841588210144,0.37485210462050006,146.1437643250057
2018,"KCR",33,0.09090909,0.333333333,0.272727272,0.1,0.181818181,0.266666666,0.448484847,0.166666666,0.111111111,0.7649517277143014,-3.092748173151253,0.19981718243974628,27.414370229004383
2018,"MIN",33,0.03030303,0.212121212,0.142857142,0.193548387,0.212121212,0.387096774,0.599217986,0.193548387,0.173913043,2.1316703221613196,-1.7260295787042352,0.2505851351853573,61.13213544222586
2018,"NYY",40,0.05,0.2,0.25,0.277777777,0.325,0.5,0.825,0.222222223,0.296296296,5.77292417267315,1.0969242928361151,0.34831562936306,123.05549466135656
2018,"OAK",44,0.113636363,0.159090909,0.714285714,0.289473684,0.386363636,0.526315789,0.912679425,0.236842105,0.310344827,7.918645037598713,2.7750451697779734,0.39201111007820477,154.1319578329737
2018,"SEA",36,0.055555555,0.194444444,0.285714285,0.264705882,0.305555555,0.411764705,0.71732026,0.147058823,0.307692307,4.0880076395339175,-0.12039225231941542,0.31060060527589584,103.79644724207199
2018,"TBR",33,0.121212121,0.151515151,0.8,0.178571428,0.28125,0.178571428,0.459821428,0,0.217391304,1.2232636135679704,-2.6344362872975844,0.22361787594854832,37.518606678991645
2018,"TEX",39,0.076923076,0.282051282,0.272727272,0.228571428,0.307692307,0.4,0.707692307,0.171428572,0.272727272,4.440243923255504,-0.11885595958560624,0.31096423130768996,90.26852483227111
2018,"TOR",34,0.088235294,0.44117647,0.2,0.161290322,0.235294117,0.161290322,0.396584439,0,0.3125,0.5209285447928677,-3.453671353068613,0.19018360095865586,17.930833665448862
2018,"ARI",43,0.139534883,0.255813953,0.545454545,0.228571428,0.348837209,0.342857142,0.691694351,0.114285714,0.32,4.198773761958916,-0.8279261088658991,0.29232965155345636,82.1545617082788
2018,"ATL",38,0.078947368,0.105263157,0.75,0.294117647,0.368421052,0.352941176,0.721362228,0.058823529,0.333333333,4.736664680745363,0.2944647949001793,0.3241989283185256,104.078875691828
2018,"CHC",47,0.106382978,0.191489361,0.555555555,0.357142857,0.425531914,0.523809523,0.949341437,0.166666666,0.419354838,9.181685657969082,3.687385799160565,0.41087124575959877,161.45852708298622
2018,"CIN",42,0.119047619,0.214285714,0.555555555,0.27027027,0.357142857,0.378378378,0.735521235,0.108108108,0.357142857,4.7223549958371285,-0.18744487799175924,0.3167714098604714,94.59997045924476
2018,"COL",37,0.081081081,0.27027027,0.3,0.272727272,0.333333333,0.424242424,0.757575757,0.151515152,0.363636363,4.791941671090814,0.4666417822415547,0.32975420521365273,94.33503406881754
2018,"MIA",42,0.119047619,0.214285714,0.555555555,0.25,0.357142857,0.361111111,0.718253968,0.111111111,0.307692307,5.224073582017972,0.3142737081890847,0.32387241295405794,107.60268670796064
2018,"HOU",40,0.125,0.1,1.25,0.352941176,0.435897435,0.705882352,1.141779787,0.352941176,0.357142857,10.109212476785885,5.433212596948849,0.47464300271792287,219.47130130502538
2018,"LAD",35,0.085714285,0.314285714,0.272727272,0.1875,0.257142857,0.1875,0.444642857,0,0.285714285,1.0986087557971187,-2.992891139060288,0.20987923315593174,33.19697943877215
2018,"MIL",37,0.108108108,0.243243243,0.444444444,0.272727272,0.351351351,0.636363636,0.987714987,0.363636364,0.285714285,7.251617499952228,2.926317611102969,0.4116492062001615,164.36865458588025
2018,"WSN",34,0.117647058,0.352941176,0.333333333,0.103448275,0.235294117,0.137931034,0.373225151,0.034482759,0.176470588,0.5359285384716759,-3.4386713593898053,0.19072440091301412,17.88106635355993
2018,"NYM",41,0.073170731,0.243902439,0.3,0.222222222,0.3,0.305555555,0.605555555,0.083333333,0.28,3.2213780712983016,-1.5715218055346603,0.2744076818227768,71.94308136653862
2018,"PHI",33,0.03030303,0.303030303,0.1,0.1875,0.212121212,0.21875,0.430871212,0.03125,0.272727272,0.5532483522659467,-3.3044515485996078,0.19195327614292954,21.11492945357047
2018,"PIT",40,0.05,0.175,0.285714285,0.216216216,0.275,0.324324324,0.599324324,0.108108108,0.24137931,3.098697879257626,-1.5773020005794098,0.26636304557323454,67.97803279175454
2018,"STL",40,0.05,0.175,0.285714285,0.361111111,0.375,0.722222222,1.097222222,0.361111111,0.333333333,8.916361448118892,4.2403615682818545,0.44464734494686126,189.6066130332084
2018,"SDP",37,0.135135135,0.297297297,0.454545454,0.225806451,0.324324324,0.29032258,0.614646904,0.064516129,0.333333333,3.2614768573243076,-1.0638230315249508,0.2794554426863387,77.62908105395304
2018,"SFG",38,0.184210526,0.157894736,1.166666666,0.24137931,0.378378378,0.344827586,0.723205964,0.103448276,0.260869565,4.072124649399385,-0.37007523644580104,0.29606268335791197,95.01796880812148
