Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2019,"LAA",32,0.03125,0.125,0.25,0.129032258,0.15625,0.161290322,0.317540322,0.032258064,0.148148148,-0.7840169553041764,-4.729616988110573,0.1429892387241125,-5.529470137222017
2019,"BAL",36,0.055555555,0.222222222,0.25,0.294117647,0.333333333,0.44117647,0.774509803,0.147058823,0.384615384,4.244442159265829,-0.19435787764136647,0.32150130953107564,104.23025299400672
2019,"BOS",34,0.029411764,0.264705882,0.111111111,0.212121212,0.235294117,0.303030303,0.53832442,0.090909091,0.291666666,1.745212552930383,-2.4469874819264135,0.23329304947572596,44.09921306394433
2019,"DET",38,0.026315789,0.315789473,0.083333333,0.297297297,0.315789473,0.432432432,0.748221905,0.135135135,0.44,4.72475581243504,0.03935577347744401,0.3202333607171711,106.60630945598675
2019,"KCR",40,0.025,0.175,0.142857142,0.27027027,0.3,0.54054054,0.84054054,0.27027027,0.275862068,5.832511126608427,0.9005110856004312,0.3458097279071808,127.70330856174118
2019,"MIN",49,0.122448979,0.204081632,0.6,0.292682926,0.408163265,0.365853658,0.774016923,0.073170732,0.387096774,7.415126532028671,1.3734264817938766,0.3523789486106561,126.23123806879019
2019,"NYY",34,0.029411764,0.235294117,0.125,0.193548387,0.235294117,0.225806451,0.461100568,0.032258064,0.25,0.6772406339422292,-3.514959400914567,0.19292785543383975,23.849502702922557
2019,"OAK",30,0.1,0.133333333,0.75,0.115384615,0.233333333,0.23076923,0.464102563,0.115384615,0.095238095,1.1724928207412177,-2.526507210014779,0.21870887478192647,44.087810620564824
2019,"SEA",29,0,0.206896551,0,0.172413793,0.172413793,0.379310344,0.551724137,0.206896551,0.181818181,1.3331488400873674,-2.2425511896434296,0.2269110371326578,52.83418071783852
2019,"TBR",40,0.15,0.325,0.461538461,0.242424242,0.375,0.303030303,0.678030303,0.060606061,0.4,4.848985719079325,-0.08301432192867075,0.31652853041887286,109.1781201791116
2019,"TEX",37,0.108108108,0.243243243,0.444444444,0.28125,0.378378378,0.5,0.878378378,0.21875,0.363636363,6.351693656009226,1.7895936180768306,0.376599137847488,140.48348031774333
2019,"TOR",35,0.114285714,0.114285714,1,0.193548387,0.285714285,0.29032258,0.576036865,0.096774193,0.192307692,2.643006193214197,-1.6724938426677993,0.2620937875338963,69.10967141718226
2019,"ARI",45,0.088888888,0.177777777,0.5,0.341463414,0.4,0.780487804,1.180487804,0.43902439,0.321428571,11.726747255564174,6.178247209430179,0.4824993477927314,190.4456678300345
2019,"CIN",36,0.138888888,0.25,0.555555555,0.129032258,0.25,0.258064516,0.508064516,0.129032258,0.142857142,1.9039762240981033,-2.5348238128090927,0.23514895306693184,40.901210680676414
2019,"COL",29,0.068965517,0.48275862,0.142857142,0.074074074,0.137931034,0.074074074,0.212005108,0,0.153846153,-1.5447585498724672,-5.120458579603264,0.10873156169365192,-39.29203542171286
2019,"MIA",46,0.04347826,0.108695652,0.4,0.390243902,0.444444444,0.560975609,1.005420053,0.170731707,0.428571428,9.697292213302857,4.025492166143661,0.4326183517773946,159.2931068739011
2019,"HOU",42,0.119047619,0.119047619,1,0.352941176,0.43902439,0.411764705,0.850789095,0.058823529,0.4,6.933215239326237,1.7546151962678418,0.3777442312822109,145.4935857384094
2019,"LAD",34,0.088235294,0.147058823,0.6,0.233333333,0.294117647,0.366666666,0.660784313,0.133333333,0.24,2.658120237192879,-1.5340797976639176,0.2733065233086095,61.98886198555541
2019,"MIL",40,0.175,0.275,0.636363636,0.212121212,0.35,0.333333333,0.683333333,0.121212121,0.285714285,4.6056130471234855,-0.3263869938845104,0.30264517741325575,84.13099480680269
2019,"WSN",34,0.029411764,0.411764705,0.071428571,0.212121212,0.235294117,0.303030303,0.53832442,0.090909091,0.333333333,1.7736623106612337,-2.418537724195563,0.23428951642092535,39.291768896060574
2019,"NYM",44,0.113636363,0.159090909,0.714285714,0.236842105,0.34090909,0.263157894,0.604066984,0.026315789,0.29032258,4.125697386574759,-1.2995026585340361,0.2838287610899318,74.35483912078645
2019,"PHI",45,0.088888888,0.266666666,0.333333333,0.341463414,0.4,0.609756097,1.009756097,0.268292683,0.444444444,11.399072549896863,5.850572503762871,0.4052851356211163,187.96098267863482
2019,"SDP",39,0.025641025,0.333333333,0.076923076,0.289473684,0.307692307,0.526315789,0.834008096,0.236842105,0.363636363,5.865532886882549,1.0568328468997517,0.3512704494671944,113.62113985621207
2019,"SFG",36,0.055555555,0.222222222,0.25,0.264705882,0.305555555,0.382352941,0.687908496,0.117647059,0.32,3.8478918969760914,-0.5909081399311051,0.2994529787037108,81.72070561481411
