Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2018,"BAL",34,0.088235294,0.352941176,0.25,0.161290322,0.235294117,0.451612903,0.68690702,0.290322581,0.125,3.328293433450909,-0.6463064644105717,0.2797153357303504,86.99959130072247
2018,"CHW",40,0.125,0.225,0.555555555,0.285714285,0.375,0.4,0.775,0.114285715,0.384615384,5.540763718652091,0.8647638388150546,0.3339590323277009,119.16971382092083
2018,"DET",31,0.064516129,0.29032258,0.222222222,0.103448275,0.161290322,0.24137931,0.402669632,0.137931035,0.105263157,0.18209892541628664,-3.4418009814574164,0.1786030088701556,16.2721149226978
2018,"KCR",31,0.032258064,0.29032258,0.111111111,0.137931034,0.193548387,0.137931034,0.331479421,0,0.2,-0.3146044758030808,-3.9385043826767845,0.15896217476937077,-1.6141208466685784
2018,"MIN",35,0.114285714,0.2,0.571428571,0.275862068,0.352941176,0.413793103,0.766734279,0.137931035,0.347826086,4.31196254580382,0.2204626509464136,0.32047912749377166,102.54950609471301
2018,"NYY",44,0.068181818,0.181818181,0.375,0.307692307,0.363636363,0.82051282,1.184149183,0.512820513,0.259259259,10.928770419897102,5.78517055207636,0.47587140717289667,208.48923709217658
2018,"TEX",37,0.135135135,0.162162162,0.833333333,0.161290322,0.297297297,0.483870967,0.781168264,0.322580645,0.09090909,4.9316021559884655,0.6063022671392062,0.33478686294040166,112.56830687051995
2018,"ARI",34,0.117647058,0.176470588,0.666666666,0.103448275,0.235294117,0.206896551,0.442190668,0.103448276,0.09090909,1.1751395136944514,-2.7994603841670287,0.21377009503981648,33.842689740967046
2018,"ATL",33,0.03030303,0.272727272,0.111111111,0.15625,0.181818181,0.15625,0.338068181,0,0.217391304,-0.4642593068304281,-4.321959207695983,0.15415706779017593,-7.561464539521144
2018,"COL",32,0.0625,0.21875,0.285714285,0.1,0.15625,0.2,0.35625,0.1,0.09090909,-0.2577285226758373,-3.998528426545466,0.16152966022491455,-4.955838954303891
2018,"MIA",35,0.114285714,0.285714285,0.4,0.161290322,0.257142857,0.258064516,0.515207373,0.096774194,0.238095238,1.8136087786506583,-2.2778911162067486,0.23492085763386317,50.47015243203092
2018,"LAD",33,0.09090909,0.212121212,0.428571428,0.103448275,0.212121212,0.24137931,0.453500522,0.137931035,0.095238095,1.0524593216537759,-2.8052405792117785,0.2104969024658203,37.203155549497424
2018,"MIL",30,0,0.366666666,0,0.2,0.2,0.5,0.7,0.3,0.1875,2.9278559626280263,-0.5791439472497517,0.291035920381546,85.51363916787871
2018,"WSN",40,0.05,0.1,0.5,0.405405405,0.435897435,0.891891891,1.327789326,0.486486486,0.379310344,11.821376788678934,7.145376908841897,0.5473564496407142,241.91249292290172
2018,"NYM",33,0.03030303,0.121212121,0.25,0.28125,0.303030303,0.34375,0.646780303,0.0625,0.321428571,3.0057712906554297,-0.8519286102101256,0.2830543770934596,82.59346631596385
2018,"PHI",34,0.088235294,0.205882352,0.428571428,0.258064516,0.323529411,0.483870967,0.807400378,0.225806451,0.272727272,4.8518734725275445,0.8772735746660635,0.34632865470998425,121.60158302235764
2018,"STL",35,0.028571428,0.285714285,0.1,0.303030303,0.323529411,0.545454545,0.868983956,0.242424242,0.38095238,5.322046062362571,1.2305461675051643,0.368321196121328,130.89039784878477
2018,"SDP",34,0.088235294,0.235294117,0.375,0.129032258,0.205882352,0.225806451,0.431688803,0.096774193,0.136363636,0.7426318998189103,-3.2319679980425713,0.19817674861234777,25.592631623129158
