Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2018,"BAL",38,0.078947368,0.184210526,0.428571428,0.235294117,0.289473684,0.382352941,0.671826625,0.147058824,0.259259259,3.6533527827355567,-0.7888471031096277,0.2892531752586365,81.74442356360117
2018,"BOS",42,0.071428571,0.19047619,0.375,0.333333333,0.38095238,0.435897435,0.816849815,0.102564102,0.419354838,6.342370310626158,1.4325704367972718,0.3565110677764529,123.69628872791301
2018,"CHW",45,0.088888888,0.222222222,0.4,0.325,0.4,0.5,0.9,0.175,0.413793103,7.982114236911774,2.7216143720951087,0.38883761432435776,150.41333697589744
2018,"CLE",35,0.028571428,0.228571428,0.125,0.205882352,0.228571428,0.470588235,0.699159663,0.264705883,0.173913043,3.5087340991958644,-0.5827657956615422,0.2942896553448268,87.59882185412258
2018,"KCR",34,0.058823529,0.294117647,0.2,0.1875,0.235294117,0.21875,0.454044117,0.03125,0.272727272,0.9759285637564432,-2.9986713341050377,0.2065878738375271,26.372375608802145
2018,"MIN",37,0.081081081,0.324324324,0.25,0.205882352,0.27027027,0.5,0.77027027,0.294117648,0.25,4.584883569321375,0.259583680472117,0.3233000410569681,108.19316821805387
2018,"OAK",42,0.095238095,0.166666666,0.571428571,0.368421052,0.428571428,0.789473684,1.218045112,0.421052632,0.37037037,11.3792295690959,6.469429695267013,0.5035170515378317,232.33019420136364
2018,"SEA",41,0.073170731,0.243902439,0.3,0.378378378,0.414634146,0.621621621,1.036255767,0.243243243,0.481481481,8.738916412487255,3.946016535654293,0.4326776004419094,183.03431217517155
2018,"TBR",34,0.117647058,0.205882352,0.571428571,0.266666666,0.352941176,0.3,0.652941176,0.033333334,0.347826086,3.535959123315151,-0.438640774546331,0.2988855400506188,94.20281453981474
2018,"TEX",31,0.032258064,0.29032258,0.111111111,0.103448275,0.161290322,0.137931034,0.299221356,0.034482759,0.15,-0.7321120959998138,-4.356012002873516,0.14245293025047548,-16.17671007166998
2018,"TOR",34,0.117647058,0.147058823,0.8,0.233333333,0.323529411,0.566666666,0.890196077,0.333333333,0.217391304,5.5968735313632525,1.622273633501772,0.373188399216708,141.7692870775108
2018,"ATL",37,0.054054054,0.135135135,0.4,0.303030303,0.378378378,0.424242424,0.802620802,0.121212121,0.357142857,5.501492121543804,1.1761922326945462,0.35366737520372543,121.71760323902723
2018,"CIN",30,0.033333333,0.333333333,0.1,0.103448275,0.133333333,0.310344827,0.44367816,0.206896552,0.058823529,0.39862968914856606,-3.1083702207292108,0.18769057591756186,19.43179788949914
2018,"HOU",34,0.058823529,0.264705882,0.222222222,0.15625,0.205882352,0.28125,0.487132352,0.125,0.181818181,1.197631918782486,-2.7769679790789947,0.21458102149121902,39.122842173830456
2018,"LAD",44,0.227272727,0.272727272,0.833333333,0.21875,0.409090909,0.25,0.659090909,0.03125,0.333333333,5.146476824557822,0.0028769567370826588,0.312800012355627,101.21986765557185
2018,"MIL",38,0.052631578,0.131578947,0.4,0.352941176,0.394736842,0.588235294,0.982972136,0.235294118,0.357142857,7.457594273268697,3.015394387423512,0.41197137299336883,162.3868648350789
2018,"NYM",50,0.08,0.24,0.333333333,0.173913043,0.24,0.195652173,0.435652173,0.02173913,0.235294117,1.2987202650383027,-4.546279584757992,0.2032421672344208,29.774521227164236
2018,"PIT",35,0.114285714,0.228571428,0.5,0.225806451,0.314285714,0.29032258,0.604608294,0.064516129,0.304347826,2.978624074476114,-1.1128758203812923,0.27572347947529385,76.00548313015396
2018,"STL",41,0.097560975,0.31707317,0.307692307,0.27027027,0.341463414,0.54054054,0.882003954,0.27027027,0.333333333,6.247307745997128,1.4544078691641664,0.3671383365988731,129.32668278904117
2018,"SFG",50,0.04,0.26,0.153846153,0.166666666,0.2,0.208333333,0.408333333,0.041666667,0.228571428,0.4737050042225248,-5.371294845573771,0.18301586627960206,14.25143146182772
